"date","CO","RH","NEPH","NO","NO2","NOx","O3","PM10","PM2.5","SO2","temp","wd","SD1","ws","site","campaign","SWR"
2012-04-16 00:00:00,400,68.1,0.29,0,16,17,6,9.6,3.2,1,17.2,233.8,38.1,1.2,"Chullora","SPS2",NA
2012-04-16 00:00:00,400,75,0.28,29,19,48,0,22.6,NA,NA,15.9,253.4,17.5,0.7,"Liverpool","SPS2",NA
2012-04-16 00:00:00,NA,89.6,0.26,40,14,54,2,16.1,6.8,NA,17,318.1,38.1,0.3,"Earlwood","SPS2",NA
2012-04-16 02:00:00,400,75.1,0.53,13,22,34,1,16.5,8.7,1,16.1,231.8,13.4,1.1,"Chullora","SPS2",NA
2012-04-16 02:00:00,400,79.6,0.32,11,15,26,0,27.6,NA,NA,15.1,237.9,23.9,0.6,"Liverpool","SPS2",NA
2012-04-16 02:00:00,NA,91.4,0.17,20,10,30,3,11.4,3.7,NA,15.5,290.8,57.2,0.2,"Earlwood","SPS2",NA
2012-04-16 03:00:00,400,81.5,0.28,16,21,37,0,13.2,6.8,1,14.7,265.3,53.3,0.3,"Chullora","SPS2",NA
2012-04-16 03:00:00,400,86.8,0.32,13,14,27,0,24.8,NA,NA,13.6,240.4,62.6,0.2,"Liverpool","SPS2",NA
2012-04-16 03:00:00,NA,91.4,0.17,20,10,30,2,13.8,4.1,NA,14.7,293.8,60.6,0.2,"Earlwood","SPS2",NA
2012-04-16 04:00:00,400,89.2,0.27,17,16,34,0,14,8.4,1,13.5,312.5,53.1,0.3,"Chullora","SPS2",NA
2012-04-16 04:00:00,400,89.3,0.31,17,12,29,0,21.1,NA,NA,13,254.4,56.1,0.4,"Liverpool","SPS2",NA
2012-04-16 04:00:00,NA,94.6,0.2,33,8,41,2,17.4,7.2,NA,14.1,290.8,52.9,0.2,"Earlwood","SPS2",NA
2012-04-16 05:00:00,500,86,0.33,58,21,79,0,23.2,11.8,1,13.7,247.9,21.8,0.7,"Chullora","SPS2",NA
2012-04-16 05:00:00,500,86.9,0.36,60,14,73,0,30.2,NA,NA,13.2,264,25,0.8,"Liverpool","SPS2",NA
2012-04-16 05:00:00,NA,95.7,0.22,48,6,54,2,18.9,8.9,NA,13.6,297.1,32,0.4,"Earlwood","SPS2",NA
2012-04-16 06:00:00,500,78.1,0.4,70,21,90,0,36.5,10,2,14.5,229.2,14.1,1.4,"Chullora","SPS2",NA
2012-04-16 06:00:00,700,84,0.41,115,17,132,0,35.5,NA,NA,13.9,259.9,65.3,0.3,"Liverpool","SPS2",NA
2012-04-16 06:00:00,NA,94.2,0.28,71,10,80,3,26.8,11.8,NA,14,272.9,22.5,0.8,"Earlwood","SPS2",NA
2012-04-16 07:00:00,500,71.8,0.28,54,19,72,1,25.4,9.6,1,15.6,246,20,1.9,"Chullora","SPS2",NA
2012-04-16 07:00:00,600,73.2,0.34,74,17,91,1,24.2,NA,NA,15.3,242.7,10.4,1.6,"Liverpool","SPS2",NA
2012-04-16 07:00:00,NA,81.3,0.29,76,14,90,3,25.2,11.5,NA,15.9,324.1,48.3,1,"Earlwood","SPS2",NA
2012-04-16 08:00:00,400,63.6,0.29,38,17,55,4,28.9,NA,NA,17.1,238.8,17.3,1.9,"Liverpool","SPS2",NA
2012-04-16 08:00:00,500,63.1,0.26,40,20,60,3,21.1,8.2,2,17.8,251.5,37.4,1.2,"Chullora","SPS2",NA
2012-04-16 08:00:00,NA,70.2,0.28,57,15,72,4,29.1,10,NA,18.1,281.2,32.1,1,"Earlwood","SPS2",NA
2012-04-16 09:00:00,400,57.1,0.24,23,14,37,7,27.3,NA,NA,19,236.5,36.1,1.3,"Liverpool","SPS2",NA
2012-04-16 09:00:00,500,56.5,0.24,34,21,55,6,29.4,13.2,2,20.7,196.6,53.4,0.7,"Chullora","SPS2",NA
2012-04-16 09:00:00,NA,63.8,0.24,34,17,51,6,33.1,11.2,NA,20.5,326.9,66,0.4,"Earlwood","SPS2",NA
2012-04-16 10:00:00,400,49.9,0.23,26,18,44,7,26,NA,NA,21.8,351.5,67.1,0.5,"Liverpool","SPS2",NA
2012-04-16 10:00:00,400,53.6,0.17,11,16,27,15,10.2,5.3,1,22.9,172.2,51.7,1.2,"Chullora","SPS2",NA
2012-04-16 10:00:00,NA,61.6,0.15,8,8,16,19,26,7.9,NA,22.8,112,59.6,0.6,"Earlwood","SPS2",NA
2012-04-16 11:00:00,200,49.9,0.12,2,6,8,27,7,1.3,1,23.6,166.4,26.1,2.2,"Chullora","SPS2",NA
2012-04-16 11:00:00,400,51.1,0.18,10,15,25,15,34.9,NA,NA,22.2,104.6,53.9,0.7,"Liverpool","SPS2",NA
2012-04-16 11:00:00,NA,61.4,0.12,1,1,2,29,19.5,4.3,NA,23.5,135.2,47.2,1,"Earlwood","SPS2",NA
2012-04-16 12:00:00,200,52.8,0.12,2,5,7,29,17.6,4.3,0,23.3,175.7,25.7,3,"Chullora","SPS2",NA
2012-04-16 12:00:00,300,48.1,0.12,3,5,8,25,13.7,NA,NA,23.3,132.9,31.3,2,"Liverpool","SPS2",NA
2012-04-16 12:00:00,NA,57.7,0.11,1,1,2,30,11.1,2.3,NA,24.2,141.5,45.4,1.3,"Earlwood","SPS2",NA
2012-04-16 13:00:00,200,48.1,0.1,1,4,5,30,3.8,-2,0,23.4,167.3,24.8,3,"Chullora","SPS2",NA
2012-04-16 13:00:00,300,43.4,0.11,1,2,3,28,7.9,NA,NA,24,132.5,29.1,2.6,"Liverpool","SPS2",NA
2012-04-16 13:00:00,NA,50.8,0.11,2,1,3,29,7.8,-0.3,NA,24.2,149.7,46.1,1.2,"Earlwood","SPS2",NA
2012-04-16 14:00:00,200,47.4,0.11,2,6,8,28,11.3,1.9,0,23,172.1,22,3.1,"Chullora","SPS2",NA
2012-04-16 14:00:00,300,39,0.1,1,3,4,27,8.9,NA,NA,23.8,148.8,25.8,2.7,"Liverpool","SPS2",NA
2012-04-16 14:00:00,NA,56.2,0.12,2,3,5,27,18,3.8,NA,23.6,161.5,46.2,1.1,"Earlwood","SPS2",NA
2012-04-16 15:00:00,300,49.9,0.11,1,4,5,24,32.6,NA,NA,22.9,146.7,29.7,2,"Liverpool","SPS2",NA
2012-04-16 15:00:00,300,51.7,0.12,1,6,8,28,21.2,NA,0,22.7,165.2,22.6,3.1,"Chullora","SPS2",NA
2012-04-16 15:00:00,NA,60.1,0.12,1,0,1,30,25.9,5.9,NA,23.3,175.5,42.2,1.4,"Earlwood","SPS2",NA
2012-04-16 16:00:00,300,55,0.12,0,4,4,25,12.9,NA,NA,22.4,147.9,28.3,2.1,"Liverpool","SPS2",NA
2012-04-16 16:00:00,300,59.9,0.16,1,9,10,26,14.6,-1,0,21.8,172.7,20.3,3.1,"Chullora","SPS2",NA
2012-04-16 16:00:00,NA,63.6,0.12,0,0,1,30,20.6,4.3,NA,22.6,179,44.1,1.2,"Earlwood","SPS2",NA
2012-04-16 17:00:00,300,68,0.14,0,8,8,19,29.3,NA,NA,20.6,151.3,23.2,1.5,"Liverpool","SPS2",NA
2012-04-16 17:00:00,300,69.4,0.17,2,13,16,20,19.3,3.1,0,20.6,182.9,14.4,2.9,"Chullora","SPS2",NA
2012-04-16 17:00:00,NA,74.1,0.15,1,4,5,26,23.7,7.5,NA,21.2,186.8,39.1,1.3,"Earlwood","SPS2",NA
2012-04-16 18:00:00,400,77.1,0.19,4,23,27,11,16.2,4.3,0,19.6,201.3,15.6,1.9,"Chullora","SPS2",NA
2012-04-16 18:00:00,500,78.4,0.19,5,23,29,3,21.7,NA,NA,18.8,194.3,26.6,0.6,"Liverpool","SPS2",NA
2012-04-16 18:00:00,NA,83.6,0.17,1,6,6,21,22.4,7.9,NA,20.2,211.4,20.4,1.6,"Earlwood","SPS2",NA
2012-04-16 19:00:00,400,79.6,0.2,5,20,26,6,17.9,NA,NA,18.6,215.7,18.2,1.2,"Liverpool","SPS2",NA
2012-04-16 19:00:00,500,80.9,0.23,5,24,29,6,14.8,4.9,0,18.9,216.2,12.3,1.8,"Chullora","SPS2",NA
2012-04-16 19:00:00,NA,82.2,0.19,1,8,9,18,16.7,5.7,NA,19.9,216.2,20,1.6,"Earlwood","SPS2",NA
2012-04-16 20:00:00,300,82.1,0.2,1,14,15,12,11,3.5,0,18.1,214.1,12.2,2.2,"Chullora","SPS2",NA
2012-04-16 20:00:00,400,78.5,0.2,2,19,21,6,16.2,NA,NA,18.4,214.3,18.6,1.4,"Liverpool","SPS2",NA
2012-04-16 20:00:00,NA,81.8,0.17,0,6,6,20,17.7,4.9,NA,19.7,217.4,20.3,1.6,"Earlwood","SPS2",NA
2012-04-16 21:00:00,400,81,0.21,9,23,33,1,17.2,NA,NA,17.7,223,14.3,1.8,"Liverpool","SPS2",NA
2012-04-16 21:00:00,400,81.3,0.2,1,14,15,13,10.3,3.3,1,17.6,217.7,11.8,2.5,"Chullora","SPS2",NA
2012-04-16 21:00:00,NA,82,0.17,0,7,7,19,16.9,4.2,NA,19.2,221.8,20.7,1.4,"Earlwood","SPS2",NA
2012-04-16 22:00:00,300,81,0.3,18,23,42,0,15.8,NA,NA,17.1,223.9,13.8,2.1,"Liverpool","SPS2",NA
2012-04-16 22:00:00,300,82.8,0.18,0,11,11,14,10.6,2.7,1,17,217.6,11.3,2.4,"Chullora","SPS2",NA
2012-04-16 22:00:00,NA,83.1,0.18,1,8,8,17,20,4.7,NA,18.9,219.1,25.8,1.6,"Earlwood","SPS2",NA
2012-04-16 23:00:00,300,79.4,0.26,5,18,24,3,13.3,NA,NA,16.6,228.1,12.7,2.6,"Liverpool","SPS2",NA
2012-04-16 23:00:00,300,84.1,0.23,0,10,10,14,8.8,2.5,0,16.6,226.7,14.6,2.3,"Chullora","SPS2",NA
2012-04-16 23:00:00,NA,84.5,0.18,0,8,9,15,14.3,3.7,NA,18.1,245.2,26.7,1.2,"Earlwood","SPS2",NA
2012-04-17 00:00:00,300,77.6,0.4,30,21,51,0,19.7,NA,NA,16.2,227.9,13.1,2.7,"Liverpool","SPS2",NA
2012-04-17 00:00:00,300,84.8,0.3,0,10,10,12,9.2,1.9,0,16,224.4,15.1,1.9,"Chullora","SPS2",NA
2012-04-17 00:00:00,NA,80.5,0.17,0,1,0,24,17.9,4.4,NA,19.2,211.6,23.9,1.8,"Earlwood","SPS2",NA
2012-04-17 02:00:00,200,83.9,0.21,1,10,10,12,7.9,2.2,0,15.5,224.1,12.6,2.4,"Chullora","SPS2",NA
2012-04-17 02:00:00,300,81.4,0.27,5,15,20,5,13.9,NA,NA,15.2,226,12,2.7,"Liverpool","SPS2",NA
